id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
201221,3,64176,'room_booking_item',69660,'receipt',None,None,None,6500,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23050557,None
201222,3,64176,'room_booking_item',69660,'payment',None,None,None,13000,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23050558,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201223,3,64177,'room_booking_item',69661,'receipt',None,None,None,8000,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23054310,None
201224,3,64177,'room_booking_item',69661,'payment',None,None,None,8000,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23054311,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201225,3,64178,'room_booking_item',69662,'receipt',None,None,None,7900,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23058469,None
201226,3,64178,'room_booking_item',69662,'payment',None,None,None,7900,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23058470,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201227,3,64179,'room_booking_item',69663,'receipt',None,None,None,7500,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23059739,None
201228,3,64179,'room_booking_item',69663,'payment',None,None,None,7500,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23059740,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201229,3,64180,'room_booking_item',69664,'receipt',None,None,None,6200,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060215,None
201230,3,64180,'room_booking_item',69664,'payment',None,None,None,6200,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060216,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201231,3,64181,'room_booking_item',69665,'receipt',None,None,None,6400,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060218,None
201232,3,64181,'room_booking_item',69665,'payment',None,None,None,6400,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060219,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201233,3,64182,'room_booking_item',69666,'receipt',None,None,None,7900,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060600,None
201234,3,64182,'room_booking_item',69666,'payment',None,None,None,7900,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23060601,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201235,3,64183,'room_booking_item',69667,'receipt',None,None,None,7400,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23061232,None
201236,3,64183,'room_booking_item',69667,'payment',None,None,None,7400,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23061233,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
