id,hotelId,receiptItemId,planSaleItemId,facilityTypeSaleItemId,saleItemId,saleItem,unitPrice,quantity,amount,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,boughtAt,payAt,taxId,tax,childrenTypeId,childrenType
208312,3,201234,None,None,None,None,None,None,7900,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
208313,3,201235,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
208314,3,201236,None,None,None,None,None,None,7400,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
208315,3,201237,None,None,None,None,3945,2,7890,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
208316,3,201238,None,None,None,None,None,None,7890,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
208317,3,201239,None,None,None,None,3950,2,7900,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
208318,3,201240,None,None,None,None,None,None,7900,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
208319,3,201241,None,None,None,None,8300,1,8300,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-10-26 00:00:00+09:00',None,None,None,None,None
208320,3,201242,None,None,None,None,None,None,8300,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-10-27 00:00:00+09:00',None,None,None,None
208321,3,201243,None,None,None,None,4300,2,8600,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-10-27 00:00:00+09:00',None,None,None,None,None
208322,3,201244,None,None,None,None,None,None,8600,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-10-28 00:00:00+09:00',None,None,None,None
208323,3,201245,None,None,None,None,6400,1,6400,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-10 00:00:00+09:00',None,None,None,None,None
