id,hotelId,bookingType,bookingId,otherTaxPercentage,roomBookingReceiptId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
66986,3,'room_booking',66981,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592005
66987,3,'room_booking',66982,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592063
66988,3,'room_booking',66983,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592872
66989,3,'room_booking',66984,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592896
66990,3,'room_booking',66985,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6593656
66991,3,'room_booking',66986,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6593788
66992,3,'room_booking',66987,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6594077
66993,3,'room_booking',66988,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6594078
66994,3,'room_booking',66989,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6594421
66995,3,'room_booking',66990,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6594543
66996,3,'room_booking',66991,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6594987
66997,3,'room_booking',66992,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6595121
66998,3,'room_booking',66993,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6595264
66999,3,'room_booking',66994,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6595324
67000,3,'room_booking',66995,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6595552
67001,3,'room_booking',66996,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6595605
67002,3,'room_booking',66997,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6597713
67003,3,'room_booking',66998,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6597969
67004,3,'room_booking',66999,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598109
67005,3,'room_booking',67000,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598171
67006,3,'room_booking',67001,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598289
67007,3,'room_booking',67002,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598492
67008,3,'room_booking',67003,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598554
67009,3,'room_booking',67004,None,None,'2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6598625
67010,3,'room_booking',67005,None,None,'2023-02-28 10:33:00.300867+09:00','2023-02-28 10:33:00.300867+09:00',None,None,None,None,6598675
67011,3,'room_booking',67006,None,None,'2023-02-28 10:33:00.300867+09:00','2023-02-28 10:33:00.300867+09:00',None,None,None,None,6598797
64175,3,'room_booking',64170,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5904503
64176,3,'room_booking',64171,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5904840
64177,3,'room_booking',64172,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5905849
64178,3,'room_booking',64173,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907076
64179,3,'room_booking',64174,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907494
64180,3,'room_booking',64175,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907652
64181,3,'room_booking',64176,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907653
64182,3,'room_booking',64177,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907793
64183,3,'room_booking',64178,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5908008
64184,3,'room_booking',64179,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5909137
64185,3,'room_booking',64180,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5909475
64186,3,'room_booking',64181,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910329
64187,3,'room_booking',64182,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910481
64188,3,'room_booking',64183,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910779
64189,3,'room_booking',64184,None,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5911028
64190,3,'room_booking',64185,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911133
64191,3,'room_booking',64186,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911374
64192,3,'room_booking',64187,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911497
64193,3,'room_booking',64188,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911505
64194,3,'room_booking',64189,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911527
64195,3,'room_booking',64190,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911734
64196,3,'room_booking',64191,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911735
64197,3,'room_booking',64192,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912198
64198,3,'room_booking',64193,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912201
64199,3,'room_booking',64194,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912599
64200,3,'room_booking',64195,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912741
64201,3,'room_booking',64196,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912868
64202,3,'room_booking',64197,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912869
64203,3,'room_booking',64198,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912871
64204,3,'room_booking',64199,None,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5913227
64205,3,'room_booking',64200,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913228
64206,3,'room_booking',64201,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913335
64207,3,'room_booking',64202,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913336
64208,3,'room_booking',64203,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913754
64209,3,'room_booking',64204,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914068
64210,3,'room_booking',64205,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914171
64211,3,'room_booking',64206,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914385
64212,3,'room_booking',64207,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914500
64213,3,'room_booking',64208,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914504
64214,3,'room_booking',64209,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914620
64215,3,'room_booking',64210,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914621
64216,3,'room_booking',64211,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914728
