id,hotelId,marketingChannelId,representativeGuestId,isReserverTheRepresentative,reserverGuestId,isMultiReservation,memo,isDailyClosing,isMonthlyClosing,otaReservationName,roomTypeGroupCode,planGroupCode,otaPlanCode,otaRoomTypeCode,otaReservationNumber,isNoLinkageSetting,tllDataId,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isHaveErrorPrice
64185,3,94,46202,True,46202,False,'gqvi',False,False,None,None,None,None,None,'2031046098@0000000047',False,None,'0003000061','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911133,False
64186,3,90,48698,False,50366,True,'uuje',False,False,None,None,None,None,None,'RYa0ffrv4a@0000000061',False,None,'0003000062','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911374,False
64187,3,92,50130,False,49307,True,'m cl',False,False,None,None,None,None,None,'IY0819465854@0000000080',False,None,'0003000063','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911497,False
64188,3,92,50130,False,49310,True,'nwcw',False,False,None,None,None,None,None,'IY0819467315@0000000080',False,None,'0003000064','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911505,False
64189,3,92,49585,True,49585,True,'rgxr',False,False,None,None,None,None,None,'IY0819469050@0000000080',False,None,'0003000065','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911527,False
64190,3,90,49360,True,49360,True,'motj',False,False,None,None,None,None,None,'RYa0ffs0ek@0000000061',False,None,'0003000066','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911734,False
64191,3,92,50879,True,50879,True,'ymfp',False,False,None,None,None,None,None,'IY0819482516@0000000080',False,None,'0003000067','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5911735,False
64192,3,90,50142,True,50142,True,'uq  ',False,False,None,None,None,None,None,'RYa0ffs8gn_1@0000000061',False,None,'0003000068','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912198,False
64193,3,90,49281,False,50142,True,'rbhf',False,False,None,None,None,None,None,'RYa0ffs8gn_2@0000000061',False,None,'0003000069','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912201,False
64194,3,90,48646,False,50339,True,'ppvv',False,False,None,None,None,None,None,'RYa0ffsfer@0000000061',False,None,'0003000070','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912599,False
