id,hotelId,planRoomTypeId,tllRank,peopleCount,price,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
441,3,121,'G',0,None,'2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None,None
442,3,122,'A',0,7500,'2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None,None
443,3,122,'B',0,7500,'2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None,None
158,2,43,'A',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
159,2,43,'B',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
160,2,43,'C',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
161,2,43,'D',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
162,2,43,'E',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
163,2,43,'F',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
164,2,43,'G',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
165,2,44,'A',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
166,2,44,'B',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
167,2,44,'C',0,9000,'2023-02-08 13:50:53.111449+09:00','2023-02-08 13:57:26.159738+09:00','2023-02-08 13:57:26.159738+09:00',None,None,None,None
444,3,122,'C',0,None,'2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None,None
445,3,122,'D',0,None,'2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None,None
358,3,110,'A',0,None,'2023-02-15 08:42:10.264044+09:00','2023-02-15 12:50:10.545963+09:00','2023-02-15 12:50:10.545963+09:00',None,None,None,None
359,3,110,'B',0,None,'2023-02-15 08:42:10.264044+09:00','2023-02-15 12:50:10.545963+09:00','2023-02-15 12:50:10.545963+09:00',None,None,None,None
360,3,110,'C',0,None,'2023-02-15 08:42:10.264044+09:00','2023-02-15 12:50:10.545963+09:00','2023-02-15 12:50:10.545963+09:00',None,None,None,None
361,3,110,'D',0,None,'2023-02-15 08:42:10.264044+09:00','2023-02-15 12:50:10.545963+09:00','2023-02-15 12:50:10.545963+09:00',None,None,None,None
