id,hotelId,rawData,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
236,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 30268, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2405085848@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
237,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30194, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2716064733@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
238,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30105, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3170775835@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
239,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30088, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0ft114j@0000000061'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
240,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 29300, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2463271110@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
241,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28941, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3809908687@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
242,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28941, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3809908687@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
243,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28940, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2596491769@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
244,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28910, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2177757263@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
245,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28910, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2177757263@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
246,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28213, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3818181548@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
247,3,'{'startDate': '2023-02-14T15:00:00.000Z', 'endDate': '2023-02-17T15:00:00.000Z', 'roomBookingId': 49581, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004254'}','room_booking_change_status','2023-02-14 00:59:55.213295+09:00','2023-02-14 00:59:55.213295+09:00',None,'6ff5dbd0-e426-44a3-bcb2-96bbab931058',None,None,None
248,3,'{'startDate': '2023-02-14T15:00:00.000Z', 'endDate': '2023-02-17T15:00:00.000Z', 'roomBookingId': 49581, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004254'}','room_booking_change_status','2023-02-14 00:59:55.213295+09:00','2023-02-14 00:59:55.213295+09:00',None,'6ff5dbd0-e426-44a3-bcb2-96bbab931058',None,None,None
249,3,'{'startDate': '2023-02-14T15:00:00.000Z', 'endDate': '2023-02-17T15:00:00.000Z', 'roomBookingId': 49581, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004254'}','room_booking_change_status','2023-02-14 00:59:55.213295+09:00','2023-02-14 00:59:55.213295+09:00',None,'6ff5dbd0-e426-44a3-bcb2-96bbab931058',None,None,None
250,3,'{'startDate': '2023-02-14T15:00:00.000Z', 'endDate': '2023-02-17T15:00:00.000Z', 'roomBookingId': 49581, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004254'}','room_booking_change_status','2023-02-14 00:59:55.213295+09:00','2023-02-14 00:59:55.213295+09:00',None,'6ff5dbd0-e426-44a3-bcb2-96bbab931058',None,None,None
251,3,'{'startDate': '2023-02-14T15:00:00.000Z', 'endDate': '2023-02-17T15:00:00.000Z', 'roomBookingId': 49581, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004254'}','room_booking_change_status','2023-02-14 00:59:55.213295+09:00','2023-02-14 00:59:55.213295+09:00',None,'6ff5dbd0-e426-44a3-bcb2-96bbab931058',None,None,None
252,3,'{'startDate': '2023-02-12T15:00:00.000Z', 'endDate': '2023-02-14T15:00:00.000Z', 'roomBookingId': 63998, 'bookingStatus': 'checked_out', 'autoGeneratedCode': '0003004613'}','room_booking_change_status','2023-02-15 13:26:19.150544+09:00','2023-02-15 13:26:19.150544+09:00',None,'e58ea8e6-0b44-4405-b02a-db5b8615373e',None,None,None
253,3,'{'startDate': '2023-03-31T15:00:00.000Z', 'endDate': '2023-04-01T15:00:00.000Z', 'roomBookingId': 64110, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004725'}','tll_create_room_booking','2023-02-15 13:30:00.945744+09:00','2023-02-15 13:30:00.945744+09:00',None,'tll',None,None,None
254,3,'{'startDate': '2023-02-19T15:00:00.000Z', 'endDate': '2023-02-20T15:00:00.000Z', 'roomBookingId': 64111, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004726'}','tll_create_room_booking','2023-02-15 13:30:00.994666+09:00','2023-02-15 13:30:00.994666+09:00',None,'tll',None,None,None
255,3,'{'startDate': '2023-02-17T15:00:00.000Z', 'endDate': '2023-02-21T15:00:00.000Z', 'roomBookingId': 64112, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004727'}','tll_create_room_booking','2023-02-15 13:30:01.049263+09:00','2023-02-15 13:30:01.049263+09:00',None,'tll',None,None,None
256,3,'{'startDate': '2023-02-17T15:00:00.000Z', 'endDate': '2023-02-21T15:00:00.000Z', 'roomBookingId': 64113, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004728'}','tll_create_room_booking','2023-02-15 13:30:01.116009+09:00','2023-02-15 13:30:01.116009+09:00',None,'tll',None,None,None
257,3,'{'startDate': '2023-02-17T15:00:00.000Z', 'endDate': '2023-02-21T15:00:00.000Z', 'roomBookingId': 64114, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004729'}','tll_create_room_booking','2023-02-15 13:30:01.197620+09:00','2023-02-15 13:30:01.197620+09:00',None,'tll',None,None,None
258,3,'{'startDate': '2023-02-17T15:00:00.000Z', 'endDate': '2023-02-18T15:00:00.000Z', 'roomBookingId': 64115, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004730'}','tll_create_room_booking','2023-02-15 13:30:01.263481+09:00','2023-02-15 13:30:01.263481+09:00',None,'tll',None,None,None
259,3,'{'startDate': '2023-02-16T15:00:00.000Z', 'endDate': '2023-02-19T15:00:00.000Z', 'roomBookingId': 64116, 'bookingStatus': 'not_arrived', 'autoGeneratedCode': '0003004731'}','tll_create_room_booking','2023-02-15 13:30:01.336310+09:00','2023-02-15 13:30:01.336310+09:00',None,'tll',None,None,None
